      freq          n          k
3.0805E+14    1.47573    0.03156
3.0755E+14    1.47363    0.03175
3.0706E+14    1.47153    0.03194
3.0657E+14    1.46942    0.03213
3.0608E+14    1.4673     0.03232
3.0559E+14    1.46518    0.03251
3.0511E+14    1.46305    0.0327
3.0462E+14    1.46091    0.0329
3.0414E+14    1.45877    0.03309
3.0366E+14    1.45663    0.03329
3.0318E+14    1.45448    0.03349
3.0270E+14    1.45232    0.03369
3.0222E+14    1.45016    0.03389
3.0175E+14    1.448      0.03409
3.0127E+14    1.44582    0.03429
3.0080E+14    1.44365    0.03449
3.0033E+14    1.44146    0.0347
2.9621E+14    1.42179    0.03658
2.9522E+14    1.41691    0.03705
2.9423E+14    1.41201    0.03754
2.9326E+14    1.40707    0.03802
2.9229E+14    1.40211    0.03852
2.9133E+14    1.39711    0.03902
2.9037E+14    1.39209    0.03953
2.8942E+14    1.38703    0.04004
2.8847E+14    1.38194    0.04057
2.8753E+14    1.37681    0.0411
2.8660E+14    1.37166    0.04164
2.8567E+14    1.36647    0.04218
2.8475E+14    1.36124    0.04274
2.8384E+14    1.35599    0.0433
2.8293E+14    1.3507     0.04387
2.8202E+14    1.34537    0.04444
2.8112E+14    1.34001    0.04503
2.8023E+14    1.33461    0.04563
2.7934E+14    1.32918    0.04623
2.7846E+14    1.32371    0.04684
2.7759E+14    1.3182     0.04747
2.7671E+14    1.31266    0.0481
2.7585E+14    1.30707    0.04874
2.7499E+14    1.30145    0.04939
2.7413E+14    1.29579    0.05005
2.7328E+14    1.29009    0.05072
2.7244E+14    1.28435    0.05141
2.7160E+14    1.27857    0.0521
2.7077E+14    1.27275    0.0528
2.6994E+14    1.26689    0.05352
2.6911E+14    1.26098    0.05424
2.6829E+14    1.25503    0.05498
2.6748E+14    1.24904    0.05573
2.6667E+14    1.243      0.0565
2.6586E+14    1.23692    0.05727
2.6506E+14    1.23079    0.05806
2.6427E+14    1.22462    0.05886
