# Frequency (Hz), Power (W m^-2 Hz^-1)
1.430990252983293438e+14,1.313915064117457072e-12
1.434413674641148125e+14,1.298223819893428037e-12
1.437853515587530000e+14,1.234045527422841316e-12
1.441309894230769375e+14,1.252811492676042940e-12
1.444782930120481875e+14,1.112237843138135432e-12
1.448272743961352500e+14,9.386997067151035654e-13
1.451779457627118438e+14,8.801052689424230598e-13
1.455303194174757188e+14,9.794356294313448899e-13
1.458844077858880625e+14,7.734331016759604532e-13
1.462402234146341250e+14,9.522027985774079996e-13
1.465977789731051250e+14,1.270458060856220783e-12
1.469570872549019688e+14,1.246304233577483558e-12
1.473181611793611875e+14,1.331441476256217015e-12
1.476810137931034375e+14,1.166417236553696304e-12
1.480456582716049375e+14,1.012324520352009594e-12
1.484121079207920625e+14,6.122251160834740584e-13
1.487803761786600312e+14,3.609059297949384599e-13
1.491504766169154062e+14,5.356568870054763334e-13
1.495224229426433750e+14,2.011538096298607222e-13
1.498962289999999688e+14,5.090988646552277408e-13
1.502719087719298125e+14,1.077873112304913522e-12
1.506494763819095625e+14,1.130902503557977845e-12
1.510289460957178750e+14,1.091711617291586397e-12
1.514103323232323125e+14,9.874739570666585901e-13
1.517936496202531562e+14,8.828931601241283604e-13
1.521789126903553125e+14,6.323385303442157923e-13
1.525661363867684375e+14,3.678817352870164916e-13
1.529553357142856875e+14,2.807078275464823103e-13
1.533465258312020625e+14,1.279479916069135726e-13
1.537397220512820625e+14,2.121614997399300627e-13
1.541349398457583438e+14,1.370781668396741721e-13
1.545321948453608125e+14,4.120354341936114253e-14
1.549315028423772500e+14,4.488062383977652681e-14
1.553328797927460938e+14,6.863779268256309558e-15
1.557363418181818125e+14,1.157140798968998751e-14
1.561419052083333125e+14,5.541912652118820906e-15
1.565495864229764688e+14,2.440025928704318223e-16
1.569594020942408438e+14,2.804288842383086050e-16
1.573713690288713750e+14,6.859610847014705606e-18
1.577855042105263125e+14,1.038244297660083414e-17
1.582018248021108125e+14,1.550839570320345025e-15
1.586203481481481250e+14,2.661031229144531179e-15
1.590410917771883125e+14,5.201966930402232445e-16
1.594640734042553125e+14,9.137443744498735837e-16
1.598893109333333438e+14,5.292333146352866807e-21
1.603168224598930312e+14,3.109963086529682674e-21
1.607466262734584375e+14,1.970270277779970349e-16
1.611787408602150312e+14,1.286823553112867541e-16
1.616131849056603750e+14,3.259299668572716743e-18
1.620499772972972812e+14,3.424070211265955135e-17
1.624891371273712500e+14,7.114568520933242101e-17
1.629306836956521562e+14,7.081141340787166135e-19
1.633746365122615625e+14,7.209726828751644172e-17
1.638210153005464375e+14,5.813358550200752800e-17
1.642698400000000000e+14,1.415828979927173465e-14
1.647211307692307500e+14,1.091141732458126218e-14
1.651749079889806875e+14,3.605937531623961867e-14
1.656311922651933750e+14,1.059033069804577820e-13
1.660900044321329688e+14,1.610035178903666669e-13
1.665513655555555312e+14,3.439803679117238634e-13
1.670152969359331250e+14,5.043917925213450355e-13
1.674818201117318438e+14,9.501816966989876044e-13
1.679509568627450938e+14,8.181619656522513635e-13
1.684227292134831250e+14,1.062148801621954351e-12
1.688971594366197188e+14,1.206894187444835489e-12
1.693742700564971562e+14,1.481006530190963433e-12
1.698540838526912188e+14,1.380376583723130552e-12
1.703366238636363438e+14,1.652990376429016528e-12
1.708219133903133750e+14,1.572002939613644421e-12
1.713099759999999688e+14,1.692283232822355418e-12
1.718008355300859688e+14,1.572422213003103470e-12
1.722945160919540312e+14,1.698447557343153612e-12
1.727910420749279375e+14,1.622027951416976883e-12
1.732904381502890000e+14,1.737782552888639049e-12
1.737927292753623125e+14,1.767553805506341458e-12
1.742979406976744062e+14,1.845148592764131840e-12
1.748060979591836562e+14,1.860631601512804323e-12
1.753172269005847812e+14,1.832729194274794144e-12
1.758313536656891250e+14,1.917831450249492846e-12
1.761412796709753125e+14,1.970803894739740656e-12
1.763485047058823438e+14,1.925590469657512194e-12
1.764523001765744375e+14,1.978786842963207741e-12
1.765562179034157812e+14,1.994538760411377631e-12
1.766602581025338750e+14,1.739360019623976278e-12
1.767644209905660312e+14,2.007401251968787221e-12
1.768687067846607500e+14,2.009443086123267865e-12
1.769731157024793438e+14,1.960073871237948206e-12
1.770776479621972812e+14,2.020574725932565001e-12
1.771823037825059062e+14,1.977507643371068253e-12
1.772870833826138125e+14,1.841159117585273454e-12
