# Frequency (Hz), Power (W m^-2 Hz^-1)
1.187296863366336719e+14,8.760643880173928439e-16
1.189652611111111094e+14,7.811951079836705067e-15
1.192017725646123281e+14,1.089620206189443079e-14
1.194392262948207188e+14,4.636511112631125204e-14
1.196776279441117656e+14,3.165639280358414883e-14
1.199169831999999844e+14,1.466180980443477779e-13
1.201572977955911719e+14,5.948391509402148956e-14
1.203985775100401406e+14,7.229564651022677058e-14
1.206408281690140625e+14,1.150210936927573234e-13
1.208840556451612969e+14,1.641160026780927039e-13
1.211282658585858594e+14,3.344454716068941380e-13
1.213734647773279375e+14,3.385291016894093765e-13
1.216196584178498906e+14,4.866169315873850262e-13
1.218668528455284531e+14,6.693060343766219843e-13
1.221150541751527344e+14,4.964680678357827607e-13
1.223642685714285625e+14,2.707600052433607794e-13
1.226145022494887344e+14,4.119118381056804957e-13
1.228657614754098125e+14,8.524705234579319780e-13
1.231180525667351094e+14,2.920187109076640080e-13
1.233713818930041094e+14,8.809316093602329112e-13
1.236257558762886562e+14,6.434326685096261219e-13
1.238811809917355312e+14,5.148995149170831204e-13
1.241376637681159375e+14,5.263919749775693607e-13
1.243952107883817344e+14,6.490976580871825706e-13
1.246538286902286719e+14,6.422011328583858327e-13
1.249135241666666562e+14,8.401204008941414359e-13
1.251743039665970781e+14,7.691403263220183698e-13
1.254361748953974844e+14,7.001785575272878590e-13
1.256991438155136250e+14,5.791775726559472281e-13
1.259632176470588125e+14,7.959834773428491284e-13
1.262284033684210469e+14,8.222951192454615468e-13
1.264947080168776250e+14,5.717091341904273484e-13
1.267621386892177500e+14,9.124947416956034409e-13
1.270307025423728594e+14,9.237817130142750159e-13
1.273004067940551875e+14,8.692567666261972443e-13
1.275712587234042656e+14,7.573825873231272666e-13
1.278432656716417969e+14,9.330785190233170055e-13
1.281164350427350469e+14,8.285934584785316860e-13
1.283907743040685156e+14,1.043223477122963544e-12
1.286662909871244531e+14,1.018279372124832092e-12
1.289429926881720312e+14,1.003004872957811686e-12
1.292208870689655000e+14,9.244208324947255613e-13
1.294999818574513906e+14,1.028396437511446741e-12
1.297802848484848281e+14,1.124720832369972816e-12
1.300618039045553125e+14,1.037536893606576317e-12
1.303445469565217344e+14,1.026846946229714674e-12
1.306285220043572969e+14,1.064728306390549699e-12
1.309137371179039219e+14,1.093871912548247042e-12
1.312002004376367500e+14,1.086575054950181769e-12
1.314879201754385781e+14,1.136654072865302443e-12
1.317769046153845938e+14,1.092968266483208615e-12
1.320671621145374219e+14,1.102418327681879594e-12
1.323587011037527344e+14,1.152618405346942004e-12
1.326515300884955781e+14,1.126886210059360479e-12
1.329456576496674062e+14,1.134151935953639035e-12
1.332410924444444375e+14,1.199528591876717666e-12
1.335378432071269375e+14,1.175323722703524692e-12
1.338359187499999844e+14,1.207400834613391455e-12
1.341353279642057969e+14,1.221178286779983376e-12
1.344360798206277812e+14,1.239557194931168291e-12
1.347381833707865000e+14,1.228604957100021853e-12
1.350416477477477344e+14,1.259765582228222931e-12
1.353464821670428906e+14,1.230498438773266196e-12
1.356526959276018125e+14,1.273579849030091378e-12
1.359602984126984062e+14,1.183052235673654043e-12
1.362692990909090781e+14,1.132940442417667771e-12
1.365797075170842656e+14,1.250869826168209045e-12
1.368915333333333281e+14,1.246329454025157682e-12
1.372047862700228750e+14,1.169826026944280358e-12
1.375194761467889688e+14,1.277647827951696142e-12
1.378356128735632188e+14,1.250649026083905052e-12
1.381532064516129062e+14,1.268764761253600235e-12
1.384722669745958438e+14,1.175353582027070232e-12
1.387928046296296250e+14,1.290340089876443838e-12
